"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"101 RGTA COMÉRCIO DE ALIMENTOS LTDA";"EMPORIUM PAX";"08.826.475/0001-43";"Sociedade Empresária";"09/06/2007";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22290070;"RJ";"Rio de Janeiro";"Botafogo";"RUA LAURO SODRÉ, N° 445 LJ.101 - PARTE A 40-A";"(21) 2295-6088";"(21) 2295-4475";"";"";"WWW.EMPORIUMPAX.COM.BR";"19.030789.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"119 RC COMERCIO DE ALIMENTO LTDA";"FORNERIA EMPORIO PAX";"07.758.539/0001-53";"Sociedade Empresária";"25/11/2005";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22640102;"RJ";"Rio de Janeiro";"BARRA DA TIJUCA";"AV. DAS AMÉRICAS, Nº 4666 LJ 141 - B -QUIOSQUE P.83 E P.85";"(21) 3089-1347";"(21) 3089-1346";"";"";"";"19.030793.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"3 CERROS COMERCIO DE ALIMENTOS LTDA";"SAANGA GRILL";"85.082.766/0001-15";"Sociedade Empresária";"08/07/1992";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";80240030;"PR";"Curitiba";"Água Verde";"AVENIDA IGUAÇU, 2423";"(41) 3342-3474";"(41) 3342-3474";"";"";"WWW.SAANGAGRILL.COM.BR";"18.030384.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"3 M DISTRIBUIDORA DE BEBIDAS DA LAPA LTDA";"BECO DO RATO";"07.018.827/0001-71";"Sociedade Empresária";"08/09/2004";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";20241110;"RJ";"Rio de Janeiro";"Centro";"RUA JOAQUIM SILVA, 11";"(21) 2508-5600";"(21) 2508-5600";"";"";"WWW.BECODORATO.COM.BR";"19.032480.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"304 RMN COMÉRCIO DE ALIMENTOS LTDA";"NAO HARA";"09.312.590/0001-62";"Sociedade Empresária";"11/10/2008";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22610001;"RJ";"Rio de Janeiro";"São Conrado";"ESTRADA DA GÁVEA, Nº 899 LJ. 304";"(21) 3322-2005";"(21) 3322-2698";"";"";"WWW.EMPORIUMPAX.COM.BR";"19.030810.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"310 RCO COMERCIO DE ALIMENTOS LTDA";"PAX";"08.628.396/0001-28";"Sociedade Empresária";"09/07/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22793081;"RJ";"Rio de Janeiro";"BARRA DA TIJUCA";"AV. DAS AMERICAS, 7.777 LJS. 309 E 310";"(XX) 3328-2267";"(21) 2421-4259";"";"";"WWW.EMPORIUMPAX.COM.BR";"19.030811.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"410 BARRA DELÍCIA VICTÓRIA CAFÉ E BAR LTDA";"VICTÓRIA CAFÉ";"08.226.398/0001-90";"Sociedade Empresária";"16/08/2006";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22430160;"RJ";"Rio de Janeiro";"Leblon";"RUA MARIO RIBEIRO, Nº 410";"(21) 2540-9017";"(21) 2540-7115";"";"";"WWW.EMPORIUMPAX.COM.BR";"19.030824.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"A & L MORAIS LTDA";"MAISABOR RESTAURANTE, PIZZARIA E CHOPERIA";"09.320.643/0001-97";"Sociedade Empresária";"12/02/2008";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";76550000;"GO";"Porangatu";"Porangatu";"RUA 08 QD. 24, LT. 07, ESQ. COM RUA 14";"(62) 3362-3889";"(62) 3362-3889";"restaurantemaisabor@gmail.com";"";"";"09.030993.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";30;"(""Nenhuma das Opções"")"
"A L J LOPES ME";"CASA DO PEIXE";"39.219.209/0001-86";"Sociedade Empresária";"21/10/1993";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28300000;"RJ";"Itaperuna";"Itaperuna";"RUA SERGIO DIAS PECLY, 33";"";"";"";"";"";"19.031550.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"A. CARVALHO COSTA - ME.";"AMIGOS & CIA.";"10.901.375/0001-86";"Sociedade Empresária";"17/06/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";68908250;"AP";"Macapá";"Pacoval";"AV. PIAUI 499";"(XX) 3223-9818";"";"";"";"";"04.032723.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Francês)"
